City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
99,saint-georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
100,roebourne,AU,85.68,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
101,bowen,AU,83.77,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
102,boa vista,BR,89.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
103,birao,CF,83.26,broken clouds,10.2849,22.7882,
104,lolodorf,CM,83.5,broken clouds,3.2333,10.7333,Auberge La Decouverte
105,olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
106,itarema,BR,84.96,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
107,bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
108,diffa,NE,78.51,overcast clouds,13.3154,12.6113,ProDAF/Diffa
109,cukai,MY,75.54,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
110,conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
111,linhares,BR,88.27,overcast clouds,-19.3911,-40.0722,Hotel Conceição
112,isangel,VU,78.96,overcast clouds,-19.55,169.2667,Tanna Lodge
113,kalmunai,LK,76.3,scattered clouds,7.4167,81.8167,VS Villa
114,acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
115,hobyo,SO,79.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
116,coahuayana,MX,81.88,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
117,samarai,PG,80.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
118,vao,NC,78.49,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
119,salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
120,port-gentil,GA,81.27,overcast clouds,-0.7193,8.7815,Fengshui Residence
121,road town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
122,dakoro,NE,78.42,scattered clouds,14.5106,6.765,Shagon mai liverpool
123,pemba,MZ,82.62,moderate rain,-12.974,40.5178,Guesthouse Samotina
124,terra santa,BR,86.99,overcast clouds,-2.1042,-56.4869,Hotel Sarah
125,ugoofaaru,MV,82.09,overcast clouds,5.6667,73.0,Ungoofaaru Inn
126,bacolod,PH,75.65,overcast clouds,10.6667,122.95,Planta Hotel & Residences
127,kuliyapitiya,LK,78.48,broken clouds,7.4688,80.0401,Rest House
128,lorengau,PG,80.71,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
129,nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
130,labuhan,ID,77.76,overcast clouds,-6.8844,112.2051,DoubleFAG
131,boyuibe,BO,75.11,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
132,arlit,NE,78.39,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
133,pochutla,MX,83.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
134,byron bay,AU,76.95,scattered clouds,-28.65,153.6167,Backpackers Inn
135,sibolga,ID,76.42,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
136,moron,AR,83.01,clear sky,-34.6534,-58.6198,Hotel Morón
137,tabou,CI,84.42,broken clouds,4.423,-7.3528,hotêl doufoulougou
