City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
139,los llanos de aridane,ES,2021-12-29 19:53:09,28.6585,-17.9182,66.13,61,20,5.99
140,la rioja,ES,2021-12-29 19:53:15,42.25,-2.5,47.05,82,67,5.73
141,matara,LK,2021-12-29 19:53:16,5.9485,80.5353,73.8,89,95,5.77
142,davila,PH,2021-12-29 19:53:16,18.4726,120.5763,73.72,78,50,17.72
143,tuy hoa,VN,2021-12-29 19:53:16,13.0833,109.3,73.78,88,69,15.79
144,yenagoa,NG,2021-12-29 19:53:17,4.9247,6.2642,78.67,82,100,6.87
145,faanui,PF,2021-12-29 19:53:18,-16.4833,-151.75,81.05,76,100,15.9
146,khorixas,NA,2021-12-29 19:53:18,-20.3667,14.9667,69.96,34,0,12.86
147,san vicente,AR,2021-12-29 19:53:13,-26.6167,-54.1333,75.45,65,76,10.07
148,lompoc,US,2021-12-29 19:53:19,34.6391,-120.4579,54.52,85,90,12.66
149,rennes,FR,2021-12-29 19:53:19,48.1667,-1.6667,59.04,88,90,16.11
150,mitsamiouli,KM,2021-12-29 19:53:20,-11.3847,43.2844,81.32,78,100,7.2
151,karratha,AU,2021-12-29 19:53:20,-20.7377,116.8463,81.41,74,33,10.47
152,nanortalik,GL,2021-12-29 19:53:21,60.1432,-45.2371,21.97,76,5,5.97
153,guerrero negro,MX,2021-12-29 19:53:21,27.9769,-114.0611,64.71,58,61,5.55
154,gardez,AF,2021-12-29 19:53:21,33.5974,69.2259,28.96,38,100,3.06
155,shache,CN,2021-12-29 19:53:22,38.4167,77.2406,21.87,63,0,2.42
156,fairbanks,US,2021-12-29 19:50:02,64.8378,-147.7164,30.16,90,90,6.91
157,vaitape,PF,2021-12-29 19:53:22,-16.5167,-151.75,81.07,76,100,15.99
158,tual,ID,2021-12-29 19:53:23,-5.6667,132.75,83.16,78,100,15.61
159,pitimbu,BR,2021-12-29 19:53:24,-7.4706,-34.8086,84.79,70,5,11.81
160,mizdah,LY,2021-12-29 19:51:38,31.4451,12.9801,55.44,52,0,9.57
161,riyadh,SA,2021-12-29 19:53:26,24.6877,46.7219,57.34,44,83,10.6
162,jumla,NP,2021-12-29 19:53:27,29.2747,82.1838,32.56,98,100,2.28
163,touros,BR,2021-12-29 19:53:27,-5.1989,-35.4608,86.9,66,12,12.84
164,half moon bay,US,2021-12-29 19:50:15,37.4636,-122.4286,53.46,93,90,4.61
165,camargo,MX,2021-12-29 19:53:28,27.6667,-105.1667,71.06,31,44,14.65
166,matay,EG,2021-12-29 19:53:29,28.419,30.7792,57.6,38,43,6.96
167,severo-kurilsk,RU,2021-12-29 19:53:29,50.6789,156.125,24.78,85,87,8.3
168,mar del plata,AR,2021-12-29 19:53:29,-38.0023,-57.5575,80.62,90,75,24.0
169,hithadhoo,MV,2021-12-29 19:53:30,-0.6,73.0833,81.64,76,100,10.4
170,bredasdorp,ZA,2021-12-29 19:53:30,-34.5322,20.0403,60.28,65,12,13.73
171,bjorkelangen,NO,2021-12-29 19:53:31,59.8848,11.5694,25.45,95,100,1.25
172,najran,SA,2021-12-29 19:53:32,17.4924,44.1277,61.45,47,85,2.57
173,lithakia,GR,2021-12-29 19:53:32,37.7167,20.8333,54.59,75,5,8.5
174,sembakung,ID,2021-12-29 19:53:33,3.8167,117.25,76.93,99,100,2.13
175,saskylakh,RU,2021-12-29 19:53:34,71.9167,114.0833,-29.0,100,60,4.38
176,nioro,GM,2021-12-29 19:53:34,13.35,-15.75,83.55,12,0,7.14
177,lavrentiya,RU,2021-12-29 19:53:34,65.5833,-171.0,-14.22,86,46,3.83
178,slave lake,CA,2021-12-29 19:53:35,55.2834,-114.769,-16.62,76,90,5.75
179,lichinga,MZ,2021-12-29 19:53:36,-13.3128,35.2406,75.29,64,75,2.3
180,dedza,MW,2021-12-29 19:53:37,-14.3779,34.3332,70.47,44,90,1.12
181,boden,SE,2021-12-29 19:52:03,65.8252,21.6886,19.4,99,99,1.9
182,beyneu,KZ,2021-12-29 19:53:38,45.3167,55.2,32.81,88,97,16.69
183,verkhoyansk,RU,2021-12-29 19:53:38,67.5447,133.385,-48.01,100,100,2.37
184,tura,IN,2021-12-29 19:53:38,25.5198,90.2201,60.94,50,100,5.01
185,paamiut,GL,2021-12-29 19:53:39,61.994,-49.6678,12.16,67,51,4.36
186,asfi,MA,2021-12-29 19:52:15,32.2994,-9.2372,64.96,64,0,3.58
187,belyy yar,RU,2021-12-29 19:53:45,53.6039,91.3903,1.29,85,90,0.0
188,pevek,RU,2021-12-29 19:53:45,69.7008,170.3133,-33.29,99,100,3.33
189,provideniya,RU,2021-12-29 19:53:45,64.3833,-173.3,-9.76,91,33,8.23
190,cherskiy,RU,2021-12-29 19:53:46,68.75,161.3,-32.57,90,100,0.36
191,port-gentil,GA,2021-12-29 19:53:46,-0.7193,8.7815,75.16,94,90,1.14
192,ryotsu,JP,2021-12-29 19:53:47,38.0833,138.4333,43.75,88,100,7.05
193,buala,SB,2021-12-29 19:53:47,-8.145,159.5921,80.56,83,100,3.91
194,warrington,GB,2021-12-29 19:53:08,53.3925,-2.5802,53.89,86,0,1.99
195,alta floresta,BR,2021-12-29 19:53:48,-9.8756,-56.0861,93.02,55,40,6.91
196,gurupa,BR,2021-12-29 19:53:48,-1.405,-51.64,84.36,69,99,2.84
197,grafton,US,2021-12-29 19:53:49,42.207,-71.6856,41.72,80,90,3.44
198,broome,US,2021-12-29 19:53:49,42.2506,-75.833,44.17,82,90,1.01
199,ilulissat,GL,2021-12-29 19:53:50,69.2167,-51.1,-6.21,77,12,5.66
200,port elizabeth,ZA,2021-12-29 19:48:50,-33.918,25.5701,66.09,72,0,8.05
201,nome,US,2021-12-29 19:53:50,64.5011,-165.4064,-17.09,100,8,7.81
202,geraldton,AU,2021-12-29 19:53:51,-28.7667,114.6,66.61,88,0,5.75
203,nemuro,JP,2021-12-29 19:53:51,43.3236,145.575,33.51,91,100,10.98
204,noumea,NC,2021-12-29 19:51:38,-22.2763,166.4572,80.01,99,100,3.36
205,akhtanizovskaya,RU,2021-12-29 19:53:52,45.32,37.1,41.49,92,100,8.55
206,torbay,CA,2021-12-29 19:53:52,47.6666,-52.7314,35.76,93,90,1.99
207,eureka,US,2021-12-29 19:53:53,40.8021,-124.1637,49.24,86,84,5.01
208,truth or consequences,US,2021-12-29 19:53:53,33.1284,-107.2528,55.15,29,4,6.13
209,los rastrojos,VE,2021-12-29 19:53:54,10.0259,-69.2417,90.28,34,100,5.75
210,norman wells,CA,2021-12-29 19:53:54,65.282,-126.8329,-9.36,70,75,4.61
211,port hedland,AU,2021-12-29 19:53:55,-20.3167,118.5667,82.45,83,75,4.61
212,north platte,US,2021-12-29 19:50:24,41.1239,-100.7654,32.99,44,1,1.99
213,la libertad,EC,2021-12-29 19:53:55,-2.2333,-80.9,83.86,61,0,13.8
214,camopi,GF,2021-12-29 19:53:56,3.1655,-52.3158,76.06,97,100,3.76
215,bol,TD,2021-12-29 19:53:56,13.4586,14.7147,74.08,39,10,12.37
216,atkinson,US,2021-12-29 19:53:57,42.8384,-71.147,42.15,75,90,1.99
217,trelew,AR,2021-12-29 19:51:42,-43.249,-65.3051,102.18,5,47,18.43
218,shawville,CA,2021-12-29 19:53:57,45.6001,-76.4827,29.77,81,95,2.77
219,henties bay,NA,2021-12-29 19:53:58,-22.116,14.2845,64.85,91,0,8.68
220,fort nelson,CA,2021-12-29 19:50:27,58.8053,-122.7002,-9.81,84,90,3.44
221,kloulklubed,PW,2021-12-29 19:53:59,7.0419,134.2556,78.8,87,100,8.23
222,mattru,SL,2021-12-29 19:53:59,7.6244,-11.8332,79.65,77,13,5.23
223,can,TR,2021-12-29 19:54:00,40.0333,27.0524,54.25,85,100,3.33
224,bowen,AU,2021-12-29 19:54:00,-20.0167,148.2333,71.82,83,100,20.07
225,port blair,IN,2021-12-29 19:54:01,11.6667,92.75,79.95,78,78,10.89
226,te anau,NZ,2021-12-29 19:54:01,-45.4167,167.7167,52.56,91,92,4.54
227,lahij,YE,2021-12-29 19:54:01,13.1667,44.5833,67.87,82,25,5.3
228,cannes,FR,2021-12-29 19:54:02,43.55,7.0167,67.08,93,0,4.61
229,bambous virieux,MU,2021-12-29 19:54:02,-20.3428,57.7575,77.25,78,75,11.5
230,east london,ZA,2021-12-29 19:54:03,-33.0153,27.9116,67.26,81,100,4.56
231,londrina,BR,2021-12-29 19:54:03,-23.3103,-51.1628,80.26,61,75,23.02
232,chicama,PE,2021-12-29 19:54:04,-7.8447,-79.1469,68.54,63,88,10.13
233,pangnirtung,CA,2021-12-29 19:54:04,66.1451,-65.7125,-2.2,71,20,3.44
234,khudumelapye,BW,2021-12-29 19:54:10,-23.8833,24.75,79.43,22,19,5.79
235,acajutla,SV,2021-12-29 19:54:10,13.5928,-89.8275,87.8,55,9,10.04
236,puerto santander,CO,2021-12-29 19:54:11,8.3636,-72.4063,87.21,60,83,4.65
237,thinadhoo,MV,2021-12-29 19:54:11,0.5333,72.9333,81.12,77,98,14.45
238,hay river,CA,2021-12-29 19:51:09,60.8156,-115.7999,-25.62,68,75,3.44
239,muros,ES,2021-12-29 19:54:12,42.7762,-9.0603,61.23,91,100,14.45
240,esperance,AU,2021-12-29 19:54:13,-33.8667,121.9,64.24,68,0,10.85
241,arraial do cabo,BR,2021-12-29 19:54:13,-22.9661,-42.0278,78.76,89,40,5.75
242,hofn,IS,2021-12-29 19:54:14,64.2539,-15.2082,30.22,55,90,20.71
243,bereda,ES,2021-12-29 19:54:14,43.2686,-7.5406,58.91,98,92,4.81
244,hinton,CA,2021-12-29 19:54:15,53.4001,-117.5857,-14.76,75,81,7.49
245,wanaka,NZ,2021-12-29 19:54:15,-44.7,169.15,54.03,73,97,6.06
246,vanavara,RU,2021-12-29 19:54:16,60.34,102.2797,-5.57,98,100,3.67
247,borogontsy,RU,2021-12-29 19:54:16,62.6683,131.1683,-47.56,100,100,2.86
248,meulaboh,ID,2021-12-29 19:52:51,4.1363,96.1285,76.51,89,69,2.53
249,markovo,RU,2021-12-29 19:54:17,57.3206,107.0881,-16.35,97,96,3.06
250,antiguo morelos,MX,2021-12-29 19:54:17,22.5495,-99.0812,95.45,15,1,8.68
251,asau,RO,2021-12-29 19:54:18,46.4333,26.4,26.96,99,100,1.63
252,caravelas,BR,2021-12-29 19:54:19,-17.7125,-39.2481,80.2,74,21,8.37
253,castro,BR,2021-12-29 19:54:19,-24.7911,-50.0119,64.44,90,80,15.21
254,calama,CL,2021-12-29 19:54:20,-22.4667,-68.9333,81.09,12,0,29.93
255,kodiak,US,2021-12-29 19:54:21,57.79,-152.4072,35.78,58,91,8.01
256,vostok,RU,2021-12-29 19:54:21,46.4856,135.8833,-28.34,98,39,4.52
257,pravdinsk,RU,2021-12-29 19:54:22,54.4429,21.0179,24.75,95,100,9.89
258,chapais,CA,2021-12-29 19:54:22,49.7834,-74.8492,10.18,93,94,3.27
259,goundam,ML,2021-12-29 19:54:22,16.4145,-3.6708,74.23,12,19,10.31
260,yamada,JP,2021-12-29 19:54:24,39.4667,141.95,37.65,85,77,5.03
261,senanga,ZM,2021-12-29 19:54:25,-16.1167,23.2667,72.46,71,95,3.44
262,payo,ID,2021-12-29 19:54:25,-3.7508,103.6372,71.69,93,54,2.39
263,gat,IL,2021-12-29 19:54:01,31.61,34.7642,56.39,100,100,5.7
264,san policarpo,PH,2021-12-29 19:54:26,12.1791,125.5072,79.68,79,97,18.21
265,elk point,US,2021-12-29 19:54:27,42.6833,-96.6836,24.04,31,100,4.61
266,carndonagh,IE,2021-12-29 19:54:27,55.25,-7.2667,51.42,85,92,15.43
267,sept-iles,CA,2021-12-29 19:50:02,50.2001,-66.3821,30.72,80,75,2.3
268,tiksi,RU,2021-12-29 19:54:28,71.6872,128.8694,-20.51,100,100,4.16
269,linkoping,SE,2021-12-29 19:54:20,58.4109,15.6216,31.98,97,75,3.44
270,san quintin,MX,2021-12-29 19:54:29,30.4833,-115.95,59.2,63,98,5.44
271,berlevag,NO,2021-12-29 19:54:29,70.8578,29.0864,18.57,84,99,6.89
272,urumqi,CN,2021-12-29 19:54:29,43.801,87.6005,2.35,92,75,2.24
273,lata,PT,2021-12-29 19:54:30,40.1629,-8.3327,58.82,94,7,3.13
274,salym,RU,2021-12-29 19:54:35,60.0625,71.4789,-9.53,97,99,5.93
275,bac lieu,VN,2021-12-29 19:54:36,9.285,105.7244,78.48,72,32,21.36
276,champasak,LA,2021-12-29 19:54:36,14.75,106.0,66.97,78,38,1.39
277,mabaruma,GY,2021-12-29 19:54:37,8.2,-59.7833,78.76,84,97,5.79
278,flinders,AU,2021-12-29 19:54:37,-34.5833,150.8552,62.8,87,0,1.99
279,lusambo,CD,2021-12-29 19:54:37,-4.9667,23.45,72.54,87,100,1.54
280,iisalmi,FI,2021-12-29 19:54:38,63.5592,27.1907,23.02,95,100,7.94
281,fergus falls,US,2021-12-29 19:54:38,46.283,-96.0776,-2.83,85,98,2.3
282,hauterive,FR,2021-12-29 19:54:39,46.0901,3.4459,59.76,90,95,7.67
283,iqaluit,CA,2021-12-29 19:54:39,63.7506,-68.5145,4.73,77,90,0.0
284,dori,BF,2021-12-29 19:54:40,14.0354,-0.0345,73.49,13,32,8.93
285,karaton,ID,2021-12-29 19:54:40,-6.3424,106.1045,80.96,91,100,1.41
286,thompson,CA,2021-12-29 19:51:09,55.7435,-97.8558,-7.44,77,75,2.3
287,mangan,IN,2021-12-29 19:54:41,27.5167,88.5333,51.64,93,100,2.84
288,alofi,NU,2021-12-29 19:54:41,-19.0595,-169.9187,76.89,88,24,4.61
289,heihe,CN,2021-12-29 19:54:42,50.2441,127.4902,-22.61,91,12,5.37
290,kabinda,CD,2021-12-29 19:54:42,-6.1333,24.4833,69.22,91,100,1.1
291,qandala,SO,2021-12-29 19:54:43,11.472,49.8728,75.63,74,10,5.41
292,anchorage,US,2021-12-29 19:54:43,61.2181,-149.9003,31.21,75,20,6.91
293,grand gaube,MU,2021-12-29 19:54:44,-20.0064,57.6608,77.4,78,15,7.0
294,bozhou,CN,2021-12-29 19:54:44,33.8772,115.7703,31.87,32,4,4.38
295,naze,JP,2021-12-29 19:54:44,28.3667,129.4833,57.34,63,100,19.44
296,betzdorf,DE,2021-12-29 19:54:45,50.7833,7.8833,50.85,97,90,10.36
