City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,tena,EC,-0.9833,-77.8167,75.36,83,100,1.23,overcast clouds
123,leh,IN,34.1667,77.5833,21.6,96,100,2.21,light snow
124,kenai,US,60.5544,-151.2583,-0.9,81,75,3.44,broken clouds
125,northam,GB,51.0333,-4.2167,44.62,67,16,11.45,few clouds
126,kargasok,RU,59.0556,80.8572,-1.17,91,15,10.6,few clouds
127,sao filipe,CV,14.8961,-24.4956,76.05,60,83,7.18,broken clouds
128,yaan,NG,7.3833,8.5667,95.0,16,16,4.63,few clouds
129,yellowknife,CA,62.456,-114.3525,-34.58,81,28,8.01,scattered clouds
130,akyab,MM,20.15,92.9,69.78,65,9,8.46,clear sky
131,beloha,MG,-25.1667,45.05,75.85,86,98,10.98,overcast clouds
132,cidreira,BR,-30.1811,-50.2056,72.82,91,100,15.77,moderate rain
133,srednekolymsk,RU,67.45,153.6833,-16.62,100,100,3.27,overcast clouds
134,esperance,AU,-33.8667,121.9,61.9,73,0,18.37,clear sky
135,kaabong,UG,3.4836,34.1492,74.32,42,100,10.74,overcast clouds
136,raha,IN,26.2333,92.5167,61.88,62,14,2.46,few clouds
137,saint-philippe,RE,-21.3585,55.7679,81.21,82,83,8.59,broken clouds
138,port alfred,ZA,-33.5906,26.891,71.38,77,92,17.81,light rain
139,altay,CN,47.8667,88.1167,19.53,63,69,7.43,broken clouds
140,kodinsk,RU,58.6881,99.1844,18.14,97,100,3.69,light snow
141,sao joao da barra,BR,-21.6403,-41.0511,89.69,79,100,10.16,overcast clouds
142,mount gambier,AU,-37.8333,140.7667,60.71,94,90,6.91,overcast clouds
143,husavik,IS,66.0449,-17.3389,25.5,73,100,17.43,overcast clouds
144,majene,ID,-3.5403,118.9707,77.34,89,100,5.08,heavy intensity rain
145,namibe,AO,-15.1961,12.1522,72.52,77,30,11.01,scattered clouds
146,las vegas,US,36.175,-115.1372,44.58,45,1,0.0,clear sky
147,ambon,ID,-3.6954,128.1814,80.31,81,86,7.23,overcast clouds
148,kirkwood,US,38.5834,-90.4068,28.54,62,20,7.0,few clouds
